ID,Manufacturer,Type,Width(mm),Aspect Ratio,Construction,Rim Diameter,Full Code
0,Michelin,P,205,65,R,15,Michelin P 205/65 R15
1,Michelin,P,215,65,R,15,Michelin P 215/65 R15
2,Michelin,P,225,65,R,15,Michelin P 225/65 R15
3,Michelin,P,235,55,R,16,Michelin P 235/55 R16
4,Michelin,P,245,55,R,16,Michelin P 245/55 R16
5,Michelin,LT,205,65,R,16,Michelin LT 205/65 R16
6,Michelin,LT,215,75,R,17,Michelin LT 215/75 R17
7,Michelin,LT,225,75,R,17,Michelin LT 225/75 R17
8,Michelin,T,235,65,R,17,Michelin T 235/65 R17
9,Michelin,T,245,55,R,18,Michelin T 245/55 R18
10,Toyo,P,205,65,R,15,Toyo P 205/65 R15
11,Toyo,P,215,65,R,15,Toyo P 215/65 R15
12,Toyo,LT,225,65,R,16,Toyo LT 225/65 R16
13,Toyo,LT,235,55,R,17,Toyo LT 235/55 R17
14,Toyo,T,245,55,R,18,Toyo T 245/55 R18
15,Goodyear,P,205,65,R,15,Goodyear P 205/65 R15
16,Goodyear,P,215,65,R,16,Goodyear P 215/65 R16
17,Goodyear,P,225,75,R,16,Goodyear P 225/75 R16
18,Goodyear,P,235,75,R,16,Goodyear P 235/75 R16
19,Goodyear,T,245,55,R,18,Goodyear T 245/55 R18
